Drew Brees ' TD run in OT lifts Saints past Falcons 43 - 37	0,10,PLAYER;32,38,TEAM;44,51,TEAM
Ridley 's third scoring catch against the Saints was a 9-yarder early in the third quarter that held up following a review .	0,6,PLAYER;42,48,TEAM
Ryan 's five touchdown passes tied the team record set by Wade Wilson on Dec. 13 , 1992 , at Tampa Bay .	0,4,PLAYER;58,69,PLAYER;73,87,DATETIME;93,102,TEAM
The fifth scoring pass to Mohamed Sanu came after Saints defensive tackle David Onyemata was called for unnecessary roughness on Matt Bryant 's 29-yard field goal . With the penalty , the Falcons ' offense came back on the field .	26,38,PLAYER;50,56,TEAM;74,88,PLAYER;129,140,PLAYER;188,195,TEAM
Ridley beat P.J. Williams on his first two scoring catches , an 18-yarder in the first quarter and the 75-yarder in the second quarter .	0,6,PLAYER;12,25,PLAYER
The Saints made a defensive switch , moving Ken Crawley into coverage on Ridley . Crawley was called for pass interference on a deep incompletion to Ridley early in the third quarter that gave Atlanta a first down at the New Orleans 5 . On second down from the 9 , Ridley 's third scoring catch gave the Falcons a 21 - 16 lead .	4,10,TEAM;44,55,PLAYER;73,79,PLAYER;82,89,PLAYER;149,155,PLAYER;193,200,TEAM;221,232,TEAM;265,271,PLAYER;304,311,TEAM
Brees completed his first four passes , including a 19-yard scoring pass to Ted Ginn Jr. on the Saints ' opening drive .	0,5,PLAYER;76,88,PLAYER;96,102,TEAM
INJURY REPORT
Saints reserve cornerback Patrick Robinson was carted from the field early in the third quarter with a left ankle injury . He did not return .	0,6,TEAM;26,42,PLAYER
Falcons safety Ricardo Allen left early in overtime with a left calf injury . He was helped to the sideline and then driven on a cart to the locker room . ... Reserve cornerback Justin Bethel injured a knee in the third quarter . ... Atlanta rookie linebacker Foyesade Oluokun left in the fourth quarter with an ankle injury .	0,7,TEAM;15,28,PLAYER;178,191,PLAYER;234,241,TEAM;260,276,PLAYER
THOMAS THRIVING	0,6,PLAYER
Thomas had 10 catches for 129 yards . His 38 catches are the most by an NFL player in his team 's first three games to start a season . His 28 catches through two games also were a record .	0,6,PLAYER;72,75,ORG
PASSING MONTANA	8,15,PLAYER
Ryan 's 75-yard scoring pass to Ridley was his 34th career TD pass against the Saints , the most by any quarterback . He surpassed Joe Montana 's 33 TD passes against New Orleans . Ryan added three more , leaving his total at 37 .	0,4,PLAYER;32,38,PLAYER;79,85,TEAM;131,142,PLAYER;167,178,TEAM;181,185,PLAYER
DROPS FOR GINN	10,14,PLAYER
Ginn dropped a sideline pass on a second - quarter drive that ended with a 49-yard field goal by Will Lutz bouncing off the left upright and over the cross bar . Later in the quarter , Ginn juggled a pass for an incompletion as he ran out of bounds on the Atlanta sideline . He finished with three catches for 12 yards .	0,4,PLAYER;97,106,PLAYER;185,189,PLAYER;256,263,TEAM
UP NEXT
Saints : at New York Giants next Sunday .	0,6,TEAM;12,27,TEAM;33,39,DATETIME
Falcons : Play their third straight home game against the Cincinnati Bengals next Sunday .	0,7,TEAM;58,76,TEAM;82,88,DATETIME
