Flacco throws 2 TD passes , Ravens trip up Steelers 26 - 14	0,6,PLAYER;28,34,TEAM;43,51,TEAM
Maybe that 's what made this one a little sweeter than most . Even Harbaugh admitted this was n't just another opponent and this was n't just another victory , answering loudly ' ' yes it does '' when asked if there was a different vibe this time around .	67,75,BOSS
The Steelers ( 1 - 2 - 1 ) came in having won nine straight Sunday night appearances . Baltimore brought Pittsburgh 's run to an abrupt end . Roethlisberger finished 27 of 47 for 274 yards with a touchdown and an interception for the Steelers . Brown caught five passes for 62 yards , including his second touchdown pass in as many weeks .	4,12,TEAM;60,66,DATETIME;87,96,TEAM;105,115,TEAM;142,156,PLAYER;234,242,TEAM;245,250,PLAYER
Yet Pittsburgh could n't generate anything in the second half . The Steelers mustered three first downs after the break and there was no balance to be found . Pittsburgh ran the ball 11 times for 19 yards , the absence of All - Pro running back Le'Veon Bell - who has yet to sign his franchise tender - growing more acute by the week .	4,14,TEAM;68,76,TEAM;159,169,TEAM;222,231,AWARD;245,257,PLAYER
Harbaugh awarded one of the game balls to the defense . Defensive coordinator Don Martindale accepted after putting together a plan that Weddle said had the Ravens a step ahead .	0,8,BOSS;78,92,BOSS;137,143,PLAYER;157,163,TEAM
It certainly looked that way . While Pittsburgh floundered , Flacco put together a string of clock - consuming possessions that ended with field goals by the ever reliable Tucker as Baltimore proved its strong start was no fluke .	37,47,TEAM;61,67,PLAYER;172,178,PLAYER;182,191,TEAM
Harbaugh called Flacco 's play ' ' phenomenal . '' Flacco is n't quite ready to go that far . If anything , he was angry the two teams were tied at the half after Baltimore let an early 14-point lead get away .	0,8,BOSS;16,22,PLAYER;51,57,PLAYER;163,172,TEAM
' ' I really felt like we could have had 28 , 30 , 35 points out there at halftime , '' Flacco said . ' ' These guys and the way these games have been ... especially the last couple years , you do n't want to leave points out there . ''	88,94,PLAYER
The Steelers came in hoping the defense was slowly starting to find itself after forcing four turnovers last Monday night in Tampa during a victory Pittsburgh believed would resuscitate its season .	4,12,TEAM;109,115,DATETIME;125,130,CITY;148,158,TEAM
Not quite .
Flacco wasted little time helping Baltimore race to a 14 - 0 advantage . He found John Brown open on a 33-yard touchdown pass on Baltimore 's opening possession . Brown was double covered when Flacco let the ball go . By the time Brown chased it down in the end zone , both Steelers were two steps behind him and the Ravens were in front .	0,6,PLAYER;34,43,TEAM;82,92,PLAYER;129,138,TEAM;163,168,PLAYER;193,199,PLAYER;230,235,PLAYER;274,282,TEAM;317,323,TEAM
Three snaps later Baltimore had the ball back thanks to a strip by safety Tony Jefferson . It took the Ravens just four plays to go up two touchdowns , when Flacco flipped the ball in the flat to a wide - open Collins . The score marked the 13th straight red - zone trip by Baltimore that ended with a Ravens touchdown , the longest streak to start a season in NFL history .	18,27,TEAM;74,88,PLAYER;103,109,TEAM;157,163,PLAYER;210,217,PLAYER;274,283,TEAM;302,308,TEAM;361,364,ORG
Baltimore 's 14th red - zone trip ended up far differently and briefly swung momentum . The Ravens had the ball at the Pittsburgh 2 with a chance to move ahead three scores when Steelers free safety Sean Davis ripped the ball from Collins and Pittsburgh rookie strong safety Terrell Edmunds recovered .	0,9,TEAM;92,98,TEAM;119,129,TEAM;178,186,TEAM;199,209,PLAYER;231,238,PLAYER;243,253,TEAM;275,290,PLAYER
Pittsburgh put together a lengthy drive that resulted in a Chris Boswell field goal to get within 14 - 6 . The Steelers tied it with 2:50 left in the first half on a pretty 26-yard back - shoulder throw by Roethlisberger to Brown in the end zone and the ensuing 2-point conversion grab by Conner .	0,10,TEAM;59,72,PLAYER;111,119,TEAM;206,220,PLAYER;224,229,PLAYER;289,295,PLAYER
Baltimore , however , kept coming as Pittsburgh crumbled .	0,9,TEAM;37,47,TEAM
UP NEXT
Ravens : Visit Cleveland next Sunday .	0,6,TEAM;15,24,TEAM;30,36,DATETIME
Steelers : Host Atlanta next Sunday . Pittsburgh has won its last two meetings against the Falcons .	0,8,TEAM;16,23,TEAM;29,35,DATETIME;38,48,TEAM;91,98,TEAM
