Chiefs ' Hill helps Mahomes era off to fast start in victory	0,6,TEAM;9,13,PLAYER;20,27,PLAYER
Mahomes said it was originally supposed to be a run play with a pass option , but one of the linebackers bit on a run fake .	0,7,PLAYER
' ' It helped that I hit it fast and Tyreek was able to miss the tackler , '' Mahomes said . ' ' Tyreek 's really worked on his route running and everything in order to make himself into one of the best receivers in the league . I think today has showed that he has improved and has the speed to bring it any time . ''	37,43,PLAYER;78,85,PLAYER;97,103,PLAYER
Hill 's third touchdown came with 9:42 remaining on a 1-yard shovel pass from Mahomes , who became the third quarterback in Chiefs ' history to throw four touchdowns in an opener .	0,4,PLAYER;78,85,PLAYER;124,130,TEAM
' ' I do n't want to make any too crazy statements , but he 's one of the most dynamic guys , '' Chargers quarterback Philip Rivers said of Hill . ' ' I do n't know if I 've seen anybody better in the things that he can do speed - wise in all my time playing . ''	97,105,TEAM;118,131,PLAYER;140,144,PLAYER
RIVERS ' 424 YARDS NOT ENOUGH	0,6,PLAYER
Rivers ' 424 yards are the most by a Chargers ' quarterback in an opener , but two turnovers led Chiefs ' touchdowns .	0,6,PLAYER;37,45,TEAM;97,103,TEAM
Los Angeles was within two points at halftime ( 14 - 12 ) , but saw Kansas City score two touchdowns in the third quarter . The second one , which gave the Chiefs a 31 - 12 lead with 48 seconds remaining in the third , came after Rivers was picked off by Ron Parker at the Chiefs 14 .	0,11,TEAM;68,79,TEAM;156,162,TEAM;230,236,PLAYER;255,265,PLAYER;273,279,TEAM
A 20-yard TD reception by Keenan Allen and 2-point conversion catch by Antonio Gates brought the Chargers within 11 , but JJ Jones ' fumble of a punt at the Chargers 2 and subsequent Hill touchdown made the deficit too much to overcome .	26,38,PLAYER;71,84,PLAYER;97,105,TEAM;122,130,PLAYER;157,165,TEAM;183,187,PLAYER
' ' It 's one of those games that you 're sick that you let it get away , because you did n't make all the plays that you really dream about making . ... It does nothing but make me be excited , '' said Rivers , who was 34 of 51 with three touchdowns and an interception .	203,209,PLAYER
INJURIES
Chiefs : LB Ben Niemann suffered a hamstring injury . Coach Andy Reid said he did not know the severity of the injury and said it was likely going to be week - to - week . S Eric Berry made the trip , but was inactive due to a heel injury .	0,6,TEAM;12,23,PLAYER;60,69,BOSS;174,184,PLAYER
Chargers : RT Joe Barksdale was carted off after injuring his right knee during the first quarter and did not return . Lynn said he did not know the severity of the injury . Sam Tevi took Barksdale 's place on the offensive line . Lynn also said DT Joey Bosa , who was inactive for the game , remains week - to - week with a foot injury .	0,8,TEAM;14,27,PLAYER;119,123,BOSS;174,182,PLAYER;188,197,PLAYER;231,235,BOSS;249,258,PLAYER
UP NEXT
Chiefs : Continue their road trip next Sunday at Pittsburgh . Kansas City has dropped three of its last four to the Steelers in the regular season .	0,6,TEAM;39,45,DATETIME;49,59,TEAM;62,73,TEAM;116,124,TEAM
Chargers : Travel to Buffalo next Sunday in the first of two straight road games . The Chargers have won three straight and five of the last six against Buffalo .	0,8,TEAM;21,28,TEAM;34,40,DATETIME;87,95,TEAM;153,160,TEAM
